ts_code,name,industry
000001.SZ,平安银行,金融
000002.SZ,万科A,房地产
000004.SZ,国华网安,信息技术
000005.SZ,ST星源,工业
000006.SZ,深振业A,房地产
000007.SZ,*ST全新,可选消费
000008.SZ,神州高铁,工业
000009.SZ,中国宝安,工业
000010.SZ,美丽生态,工业
000011.SZ,深物业A,房地产
000012.SZ,南玻A,材料
000014.SZ,沙河股份,房地产
000016.SZ,深康佳A,可选消费
000017.SZ,深中华A,可选消费
000019.SZ,深粮控股,工业
000020.SZ,深华发A,可选消费
000021.SZ,深科技,信息技术
000023.SZ,ST深天,材料
000025.SZ,特力A,可选消费
000026.SZ,飞亚达,可选消费
000027.SZ,深圳能源,公用事业
000028.SZ,国药一致,医疗保健
000029.SZ,深深房A,房地产
000030.SZ,富奥股份,可选消费
000031.SZ,大悦城,房地产
000032.SZ,深桑达A,工业
000034.SZ,神州数码,信息技术
000035.SZ,中国天楹,工业
000036.SZ,华联控股,房地产
000037.SZ,深南电A,公用事业
000039.SZ,中集集团,工业
000040.SZ,东旭蓝天,公用事业
000042.SZ,中洲控股,房地产
000045.SZ,深纺织A,信息技术
000046.SZ,*ST泛海,金融
000048.SZ,京基智农,日常消费
000049.SZ,德赛电池,工业
000050.SZ,深天马A,信息技术
000055.SZ,方大集团,工业
000056.SZ,皇庭国际,工业
000058.SZ,深赛格,房地产
000059.SZ,华锦股份,能源
000060.SZ,中金岭南,材料
000061.SZ,农产品,日常消费
000062.SZ,深圳华强,信息技术
000063.SZ,中兴通讯,信息技术
000065.SZ,北方国际,工业
000066.SZ,中国长城,信息技术
000068.SZ,华控赛格,工业
000069.SZ,华侨城A,房地产
000070.SZ,特发信息,信息技术
000078.SZ,海王生物,医疗保健
000088.SZ,盐田港,工业
000089.SZ,深圳机场,工业
000090.SZ,天健集团,工业
000096.SZ,广聚能源,能源
000099.SZ,中信海直,工业
000100.SZ,TCL科技,信息技术
000151.SZ,中成股份,工业
000153.SZ,丰原药业,医疗保健
000155.SZ,川能动力,公用事业
000156.SZ,华数传媒,可选消费
000157.SZ,中联重科,工业
000158.SZ,常山北明,信息技术
000159.SZ,国际实业,能源
000166.SZ,申万宏源,金融
000301.SZ,东方盛虹,材料
000333.SZ,美的集团,可选消费
000338.SZ,潍柴动力,工业
000400.SZ,许继电气,工业
000401.SZ,冀东水泥,材料
000402.SZ,金融街,房地产
000403.SZ,派林生物,医疗保健
000404.SZ,长虹华意,工业
000407.SZ,胜利股份,公用事业
000408.SZ,藏格矿业,材料
000409.SZ,云鼎科技,信息技术
000410.SZ,沈阳机床,工业
000411.SZ,英特集团,医疗保健
000413.SZ,东旭光电,信息技术
000415.SZ,渤海租赁,金融
000416.SZ,*ST民控,金融
000417.SZ,合肥百货,可选消费
000419.SZ,通程控股,可选消费
000420.SZ,吉林化纤,材料
000421.SZ,南京公用,公用事业
000422.SZ,湖北宜化,材料
000423.SZ,东阿阿胶,医疗保健
000425.SZ,徐工机械,工业
000426.SZ,兴业银锡,材料
000428.SZ,华天酒店,可选消费
000429.SZ,粤高速A,工业
000430.SZ,张家界,可选消费
000488.SZ,晨鸣纸业,材料
000498.SZ,山东路桥,工业
000501.SZ,武商集团,可选消费
000503.SZ,国新健康,信息技术
000504.SZ,南华生物,医疗保健
000505.SZ,京粮控股,日常消费
000506.SZ,中润资源,材料
000507.SZ,珠海港,工业
000509.SZ,华塑控股,信息技术
000510.SZ,新金路,材料
000513.SZ,丽珠集团,医疗保健
000514.SZ,渝开发,房地产
000516.SZ,国际医学,医疗保健
000517.SZ,荣安地产,房地产
000518.SZ,四环生物,医疗保健
000519.SZ,中兵红箭,工业
000520.SZ,凤凰航运,工业
000521.SZ,长虹美菱,可选消费
000523.SZ,红棉股份,日常消费
000524.SZ,岭南控股,可选消费
000525.SZ,ST红太阳,材料
000526.SZ,学大教育,可选消费
000528.SZ,柳工,工业
000529.SZ,广弘控股,日常消费
000530.SZ,冰山冷热,工业
000531.SZ,穗恒运A,公用事业
000532.SZ,华金资本,信息技术
000533.SZ,顺钠股份,可选消费
000534.SZ,万泽股份,医疗保健
000536.SZ,华映科技,信息技术
000537.SZ,中绿电,公用事业
000538.SZ,云南白药,医疗保健
000539.SZ,粤电力A,公用事业
000541.SZ,佛山照明,可选消费
000543.SZ,皖能电力,公用事业
000544.SZ,中原环保,公用事业
000545.SZ,金浦钛业,材料
000546.SZ,金圆股份,材料
000547.SZ,航天发展,工业
000548.SZ,湖南投资,工业
000550.SZ,江铃汽车,可选消费
000551.SZ,创元科技,工业
000552.SZ,甘肃能化,能源
000553.SZ,安道麦A,材料
000554.SZ,泰山石油,能源
000555.SZ,神州信息,信息技术
000557.SZ,西部创业,工业
000558.SZ,莱茵体育,可选消费
000559.SZ,万向钱潮,可选消费
000560.SZ,我爱我家,房地产
000561.SZ,烽火电子,信息技术
000563.SZ,陕国投A,金融
000564.SZ,ST大集,可选消费
000565.SZ,渝三峡A,材料
000566.SZ,海南海药,医疗保健
000567.SZ,海德股份,金融
000568.SZ,泸州老窖,日常消费
000570.SZ,苏常柴A,工业
000571.SZ,新大洲A,能源
000572.SZ,海马汽车,可选消费
000573.SZ,粤宏远A,房地产
000576.SZ,甘化科工,工业
000581.SZ,威孚高科,可选消费
000582.SZ,北部湾港,工业
000584.SZ,ST工智,工业
000586.SZ,汇源通信,信息技术
000589.SZ,贵州轮胎,可选消费
000590.SZ,启迪药业,医疗保健
000591.SZ,太阳能,公用事业
000592.SZ,平潭发展,材料
000593.SZ,德龙汇能,公用事业
000595.SZ,宝塔实业,工业
000596.SZ,古井贡酒,日常消费
000597.SZ,东北制药,医疗保健
000598.SZ,兴蓉环境,公用事业
000599.SZ,青岛双星,可选消费
000600.SZ,建投能源,公用事业
000601.SZ,韶能股份,公用事业
000603.SZ,盛达资源,材料
000605.SZ,渤海股份,公用事业
000607.SZ,华媒控股,可选消费
000608.SZ,阳光股份,房地产
000609.SZ,中迪投资,房地产
000610.SZ,西安旅游,可选消费
000612.SZ,焦作万方,材料
000615.SZ,*ST美谷,材料
000617.SZ,中油资本,金融
000619.SZ,海螺新材,工业
000620.SZ,*ST新联,房地产
000622.SZ,恒立实业,可选消费
000623.SZ,吉林敖东,医疗保健
000625.SZ,长安汽车,可选消费
000626.SZ,远大控股,工业
000627.SZ,天茂集团,金融
000628.SZ,高新发展,工业
000629.SZ,钒钛股份,材料
000630.SZ,铜陵有色,材料
000631.SZ,顺发恒业,房地产
000632.SZ,三木集团,工业
000633.SZ,合金投资,材料
000635.SZ,英力特,材料
000636.SZ,风华高科,信息技术
000637.SZ,ST实华,材料
000638.SZ,万方发展,工业
000639.SZ,西王食品,日常消费
000650.SZ,仁和药业,医疗保健
000651.SZ,格力电器,可选消费
000652.SZ,泰达股份,工业
000655.SZ,金岭矿业,材料
